Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic Mass (amu),Electron Configuration,Common Isotopes,State at 25°C,Melting Point (°C),Melting Point (°F),Melting Point (K),Boiling Point (°C),Density (g/cm³),Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,"Ionization Energy (e.g., eV)",Valency,Oxidation States,Atomic Radius (pm),Electronegativity Value,Ionization Energy Value,Metallic Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds
Fe,Iron,Ancient,26,55.845,[Ar] 3d⁶4s²,Fe-56;Fe-54,Solid,1538,2800.4,1811.15,2862,7.874,Silvery-gray,High,Malleable/ductile,Low,1.83,7.902,"2,3",+2;+3,126,1.83,7.902,Transition metal,Low (Fe-60),Stable,Unknown,Ferromagnetic,+2.2×10⁻³ cm³/mol,Red lines,372.0 nm,"Hemoglobin, steel",Ubiquitous,"α (bcc), γ (fcc), δ",Im-3m,23.468168469356993,"['FeB2', 'V3Fe', 'FeF6', 'FeSi2', 'FeIr', 'Cd3Fe', 'FeSn3', 'Nd2Fe', 'FeBr2', 'FeAg', 'FePd3', 'FeCu4', 'FeO2', 'Mg3Fe', 'FeCl3', 'FeCo', 'VFe', 'FeSe', 'FeCo9', 'Nb2Fe', 'Ga3Fe', 'FeS2', 'FeSb', 'Mg149Fe', 'FeCu3', 'Ta2Fe', 'FeH3', 'FeF2', 'U6Fe', 'Zn13Fe', 'Cr3Fe', 'FeF3', 'Ti2Fe', 'FeCo3', 'FeSn2', 'FeTe', 'Pu6Fe', 'Ti3Fe', 'GaFe', 'FeF4', 'Dy4Fe', 'FeSn', 'FeO', 'FeGe2', 'Hf4Fe', 'FePt', 'FeIr3', 'FeSi', 'FeAu3', 'Nb3Fe', 'U4Fe', 'FeTe2', 'Be2Fe', 'FeGe', 'Al3Fe', 'Mg7Fe', 'FeS', 'FeI2', 'Pr4Fe', 'FeAu', 'ZnFe', 'FeAg3', 'KFe', 'FePt3', 'FeHg3', 'FeRu', 'Sc4Fe', 'FeBr3', 'Tm4Fe', 'AlFe', 'Cr2Fe', 'FeNi2', 'Fe', 'TiFe', 'FeRh', 'Er4Fe', 'Be3Fe', 'FePd', 'FeO3', 'NbFe', 'FeH4', 'FeP4', 'FeB', 'FeH', 'FeGe3', 'FeRe', 'Be5Fe', 'FePd2', 'FeSb2', 'FeSe2', 'FeRe3', 'FeCl', 'FeRh3', 'Zr2Fe', 'FeNi', 'Na3Fe', 'Be12Fe', 'TaFe', 'Np4Fe', 'FeN', 'FeNi3', 'Sr3Fe', 'FeSb3', 'Nd4Fe', 'Li3Fe', 'Zr4Fe', 'Mg15Fe', 'FeCl2', 'Lu4Fe', 'Tl3Fe', 'MnFe']"
Co,Cobalt,1735,27,58.933,[Ar] 3d⁷4s²,Co-59,Solid,1495,2723,1768.15,2927,8.86,Silvery-blue,High,Hard,Low,1.88,7.881,"2,3",+2;+3,125,1.88,7.881,Transition metal,Low (Co-60),Stable,Co-60: 5.27 years,Ferromagnetic,+1.7×10⁻³ cm³/mol,Blue glass,345.4 nm,"Vitamin B12, magnets",Low solubility,"α (hcp), β (fcc)",Fm-3m,10.841542632772713,"['CoF2', 'CoRe', 'CoO', 'ZnCo', 'Cr3Co', 'CoSe', 'U4Co', 'CoSb', 'MnCo', 'HfCo', 'LaCo', 'CoBr', 'CoPt2', 'Hf4Co', 'CoS2', 'CoBr2', 'Ho4Co', 'NdCo', 'CoNi3', 'CoSn3', 'TaCo', 'CoW3', 'Ga3Co', 'YCo', 'AlCo', 'Be12Co', 'Ti4Co', 'FeCo', 'CoNi', 'CoAu3', 'Rb3Co', 'CoN', 'CoF4', 'CoAu4', 'CoTe2', 'Zn13Co', 'Li3Co', 'CoSb3', 'Be3Co', 'U6Co', 'NbCo', 'CoHg3', 'ScCo', 'CoAs2', 'CoH3', 'Co', 'Nd4Co', 'CoPd', 'CoS', 'Zr2Co', 'CoMo3', 'Sc2Co', 'Tm4Co', 'CoO4', 'Ta4Co', 'BeCo', 'Sc4Co', 'CoP3', 'Sm4Co', 'Tb4Co', 'Ta2Co', 'CoGe', 'Mg15Co', 'CoP2', 'CoRu', 'CoPb3', 'GaCo', 'Cr2Co', 'CoSe2', 'Pu4Co', 'Ti2Co', 'Pr4Co', 'CoRh3', 'CoF3', 'In3Co', 'CoI2', 'VCo', 'CoW', 'CoSi2', 'Zn3Co', 'CoSn', 'CoTc3', 'CoSn2', 'CoSi', 'CoAs3', 'ZrCo', 'CoPd3', 'CoPt3', 'CoMo', 'Mn3Co', 'La4Co', 'Mg7Co', 'Lu4Co', 'CoRh', 'CoN12', 'Zr4Co', 'CoSb2', 'Na3Co', 'CoCl2', 'Tl3Co', 'CoAs', 'V3Co', 'CoO2', 'Yb4Co', 'Hf2Co', 'Be5Co', 'Pu6Co', 'CoN3', 'CoIr', 'UCo', 'K3Co', 'CoOs', 'Nd2Co', 'Mg3Co', 'Pu2Co', 'CoTe', 'Hf3Co', 'Zr3Co', 'CoH', 'CoTc', 'Fe3Co', 'CrCo', 'Fe15Co', 'CoPt', 'TiCo', 'CoRe3']"
Ni,Nickel,1751,28,58.693,[Ar] 3d⁸4s²,Ni-58;Ni-60,Solid,1455,2651,1728.15,2913,8.908,Silvery-white,High,Malleable,Low,1.91,7.64,2,+2;+3,124,1.91,7.64,Transition metal,Low (Ni-59),Stable,Unknown,Ferromagnetic,+6.0×10⁻⁴ cm³/mol,Green flame,341.5 nm,"Alloys, batteries",Nickel carbonyl toxic,Unknown,Fm-3m,10.492020341068946,"['Zr2Ni', 'NiRh', 'Lu4Ni', 'Ti3Ni', 'ScNi', 'NiPt', 'NiP3', 'MnNi', 'NiC', 'TiNi', 'NiF2', 'Li3Ni', 'Co3Ni', 'Hf2Ni', 'Yb4Ni', 'NiBr2', 'Si2Ni', 'CoNi', 'NiAs2', 'Fe3Ni', 'AlNi', 'NiAu3', 'U6Ni', 'CdNi', 'NiAs', 'Ni', 'Pu4Ni', 'BeNi', 'Tc3Ni', 'Zn3Ni', 'NiO', 'CuNi', 'Sc4Ni', 'NiSe', 'NiIr', 'GaNi', 'NiSe2', 'NiS', 'Mg149Ni', 'Dy4Ni', 'NiAg3', 'TlNi', 'NiH', 'Cr3Ni', 'NiSb', 'Nd4Ni', 'Hf3Ni', 'NiTe', 'Y4Ni', 'Ta2Ni', 'NiI2', 'Fe2Ni', 'PaNi', 'TaNi', 'NiC4', 'Mg15Ni', 'NiP4', 'Cd3Ni', 'NiTe2', 'NiP2', 'ZnNi', 'V3Ni', 'Ta5Ni', 'NiPt3', 'Be3Ni', 'NiS2', 'Ho4Ni', 'Cs3Ni', 'NiO2', 'TbNi', 'NiCl2', 'TcNi', 'La4Ni', 'Mg2Ni', 'NiPb', 'Cr2Ni', 'NiI', 'Er4Ni', 'NiB12', 'NiHg', 'SiNi', 'Zr3Ni', 'NiRu', 'CrNi', 'In3Ni', 'NiPd', 'Mg7Ni', 'VNi', 'NiF4', 'NiSb3', 'Ca4Ni', 'MgNi', 'Sr3Ni', 'Ga5Ni', 'FeNi', 'Zr4Ni', 'Tm4Ni', 'Nb3Ni', 'NiN', 'NiIr3', 'NiH3', 'NiGe3', 'Na3Ni', 'Re3Ni', 'Th3Ni', 'NiF3', 'InNi', 'CaNi', 'NiPd3', 'NiCl', 'NiBi', 'NbNi']"
Cu,Copper,Ancient,29,63.546,[Ar] 3d¹⁰4s¹,Cu-63;Cu-65,Solid,1084.62,1984.316,1357.77,2562,8.96,Reddish-orange,Very high,Malleable/ductile,Low,1.9,7.726,"1,2",+2;+1,128,1.9,7.726,Transition metal,Low (Cu-64),Stable,Unknown,Diamagnetic,-9.6×10⁻⁶ cm³/mol,Green flame (Cu²⁺),324.8 nm,"Electrical wiring, enzymes",Patina (Cu₂O),Unknown,Fm-3m,11.445998564977856,"['CuRh', 'CuI', 'Pr3Cu', 'Th2Cu', 'CuO', 'Ga3Cu', 'CuTe2', 'CuF2', 'CuSe', 'ErCu', 'CuBr', 'CuI2', 'CuPt7', 'Co3Cu', 'CuTe', 'Ga2Cu', 'CuPt', 'CuAg3', 'SmCu', 'BeCu', 'Fe3Cu', 'CuP2', 'Mg2Cu', 'Be3Cu', 'Al2Cu', 'Yb3Cu', 'CuAs2', 'CuNi', 'In3Cu', 'CuCl', 'Nd3Cu', 'Hf2Cu', 'GdCu', 'CuS', 'CuH', 'V3Cu', 'U3Cu', 'Mg7Cu', 'Np3Cu', 'InCu', 'Cu', 'CuPd3', 'CuI4', 'ScCu', 'CuN', 'Li3Cu', 'NaCu', 'Ti2Cu', 'BaCu', 'CuBi', 'K3Cu', 'YCu', 'Zr3Cu', 'TmCu', 'TbCu', 'Cr3Cu', 'CuO2', 'CuCl4', 'In2Cu', 'CuPb3', 'Ce3Cu', 'TiCu', 'AlCu', 'CuN3', 'Ti3Cu', 'CuAu4', 'SrCu', 'CuPd', 'CuAu3', 'HoCu', 'ZrCu', 'Pm3Cu', 'CuSe2', 'Tl3Cu', 'Ta3Cu', 'CuS2', 'Mg15Cu', 'CuSn', 'EuCu', 'DyCu', 'Zr2Cu', 'Sr3Cu', 'CuNi3', 'CuF', 'CuBr2', 'CuAs', 'ZnCu', 'MgCu', 'CaCu', 'Al3Cu', 'Mg5Cu', 'CuP10', 'CuSn3', 'CuAu', 'Na3Cu', 'CuCl2', 'Nb3Cu', 'Mg4Cu', 'CuRu3', 'Mn4Cu', 'Be2Cu', 'Zn3Cu', 'Mg3Cu', 'CuGe3']"
Zn,Zinc,Ancient,30,65.38,[Ar] 3d¹⁰4s²,Zn-64;Zn-66,Solid,419.53,787.1539999999999,692.68,907,7.134,Bluish-white,High,Brittle (cold); malleable (hot),Moderate,1.65,9.394,2,2,134,1.65,9.394,Post-transition metal,Unknown,Stable,Unknown,Diamagnetic,-1.5×10⁻⁵ cm³/mol,Blue flame,213.9 nm,"Galvanizing, enzymes",Leaches in acid,Unknown,P6_3/mmc,28.845108913918352,"['ZnF2', 'La3Zn', 'Mg3Zn', 'ZnBi3', 'ZnPb3', 'Pm3Zn', 'ZnI2', 'Ti3Zn', 'ZnHg3', 'ZnPd', 'ZnN6', 'ZnPt', 'ZnRh3', 'ZnAu3', 'ZnAg', 'ZnO', 'Nd3Zn', 'Mg2Zn', 'Ce3Zn', 'ZnNi', 'Th3Zn', 'ZnPd3', 'ZnTe', 'ZnFe', 'Zr3Zn', 'ZnPd2', 'U3Zn', 'Pr3Zn', 'ZnCu', 'ZnCl2', 'Ti2Zn', 'Zn', 'ZnCo3', 'Th2Zn', 'Hf2Zn', 'MgZn', 'ZnS', 'Ca3Zn', 'ZnAs2', 'Ca2Zn', 'Tl3Zn', 'Mn3Zn', 'Sm3Zn', 'Rb3Zn', 'ZnP2', 'Mg5Zn', 'Ba2Zn', 'ZnIn3', 'Na3Zn', 'ZnNi3', 'Li3Zn', 'ZnAg3', 'K3Zn', 'ZnSe', 'ZnSi3', 'ZnSb2', 'ZnBr2', 'ZnSn3', 'Zr2Zn', 'Ac3Zn']"
Ga,Gallium,1875,31,69.723,[Ar] 3d¹⁰4s²4p¹,Ga-69;Ga-71,Solid,29.76,85.56800000000001,302.91,2229,5.904,Silvery-blue,High (liquid),Soft,Moderate,1.81,5.999,3,3,135,1.81,5.999,Post-transition metal,Unknown,Stable,Unknown,Diamagnetic,-2.2×10⁻⁵ cm³/mol,Green lines,417.2 nm,Semiconductors,Melts in hand,"α, β, γ, δ",Cmce,76.70242103705301,"['GaFe2', 'UGa', 'GaSb', 'Mg3Ga', 'Ti2Ga', 'Hf2Ga', 'GaPt3', 'GaPt', 'GaNi3', 'Ti3Ga', 'GaS', 'GaN', 'ZrGa', 'Cd3Ga', 'GaFe3', 'GaAg3', 'GaPd', 'GaBr3', 'GaP', 'Mg149Ga', 'GaNi2', 'SrGa', 'Lu3Ga', 'Rb3Ga', 'GaC', 'Mn3Ga', 'GaSn3', 'CrGa', 'Ga', 'Li3Ga', 'GaAg2', 'GaPb3', 'GaCo3', 'Zr2Ga', 'GaH3', 'Na3Ga', 'GaFe', 'MgGa', 'Sc3Ga', 'GaTc', 'Ce3Ga', 'Tm3Ga', 'GaO', 'GaH', 'GaSi3', 'GaTe', 'GaF3', 'GaGe3', 'GaO3', 'GaBi', 'GaO5', 'GaRe', 'GaI2', 'GaHg3', 'GaCu2', 'TiGa', 'GaCu3', 'Mg5Ga', 'GaCu4', 'GaCl3', 'K3Ga', 'MnGa', 'GaPd3', 'Mg7Ga', 'EuGa', 'Hf3Ga', 'GaI3', 'GaCo4', 'Th2Ga', 'In3Ga', 'Mn4Ga', 'Mg2Ga', 'PuGa', 'GaBr2', 'GaAs', 'VGa', 'GaSe', 'GaRh3', 'Mg15Ga']"
Ge,Germanium,1886,32,72.63,[Ar] 3d¹⁰4s²4p²,Ge-74;Ge-72,Solid,938.25,1720.85,1211.4,2833,5.323,Gray-white,Moderate (semiconductor),Brittle,Moderate,2.01,7.9,4,+4;+2,122,2.01,7.9,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-1.1×10⁻⁵ cm³/mol,Blue-white,265.2 nm,Semiconductors,Low solubility,Unknown,P6_3/mmc,182.58844844333856,"['Li3Ge', 'GaGe', 'Mg5Ge', 'Si3Ge', 'Y3Ge', 'GeSe2', 'Cu3Ge', 'GeF2', 'SnGe', 'GeB', 'MnGe', 'Zn3Ge', 'Cr3Ge', 'CrGe', 'Ga3Ge', 'CsGe', 'Tl3Ge', 'GeAs2', 'Be3Ge', 'GePd2', 'GeSb', 'Pu3Ge', 'ZnGe', 'Tc3Ge', 'GeAs', 'GeO2', 'GeCl4', 'GeS2', 'In3Ge', 'Ti2Ge', 'Ni3Ge', 'GeSb3', 'Rb3Ge', 'Sn3Ge', 'Ag3Ge', 'U3Ge', 'Cd3Ge', 'Mn3Ge', 'Mg2Ge', 'CoGe', 'Al3Ge', 'GeI2', 'Fe2Ge', 'MgGe', 'GeTe', 'ScGe', 'FeGe', 'GeC', 'Hf2Ge', 'GeBr4', 'GeBi3', 'Nb3Ge', 'GeRh', 'Ti3Ge', 'Pa3Ge', 'GeH4', 'Zr3Ge', 'KGe', 'GeP3', 'GeP2', 'Cs3Ge', 'GeMo3', 'Ge', 'Tm3Ge', 'GeI4', 'Si7Ge', 'GeAs3', 'Th2Ge', 'GeRh3', 'Co4Ge', 'GeAu3', 'Mg3Ge', 'Re3Ge', 'GePd5', 'Mn2Ge', 'GePt2', 'LiGe', 'Co2Ge', 'Er3Ge', 'Ca2Ge', 'Hf3Ge', 'Na3Ge', 'V3Ge', 'GePb3', 'RbGe', 'Hg3Ge', 'K3Ge', 'GeRu', 'Pm3Ge', 'NaGe', 'GeF4', 'CeGe', 'ThGe', 'Ca7Ge', 'ZrGe', 'Ni2Ge', 'GeP', 'SiGe', 'GeBr2', 'Ni4Ge', 'GePt3', 'Fe3Ge', 'GeSe']"
As,Arsenic,Ancient,33,74.922,[Ar] 3d¹⁰4s²4p³,As-75,Solid,616,1141,889,614 (subl.),5.727 (gray),Gray metallic,Low,Brittle,High,2.18,9.789,"3,5",+3;+5;-3,119,2.18,9.789,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-2.3×10⁻⁵ cm³/mol,Green flame,228.8 nm,Toxic (As³⁺),Persistent toxin,"Gray, yellow, black",Cmce,98.54977227954305,"['Hf2As', 'AsPd5', 'GdAs', 'Co2As', 'TmAs', 'LiAs', 'TlAs', 'AlAs', 'Cu3As', 'Bi3As', 'SbAs', 'AsAu3', 'KAs', 'AsPt3', 'Dy3As', 'AsO3', 'Zn2As', 'K3As', 'YAs', 'AsPb3', 'TeAs', 'NiAs', 'MgAs', 'AsS2', 'AsP', 'Cr3As', 'InAs', 'AsS', 'AsCl5', 'AsH3', 'GeAs', 'Ta3As', 'TbAs', 'CrAs', 'MnAs', 'EuAs', 'ZrAs', 'Cu4As', 'Mn2As', 'Sn3As', 'Cr2As', 'In3As', 'Tc3As', 'PuAs', 'HoAs', 'LaAs', 'Li3As', 'CeAs', 'SrAs', 'AsRh2', 'AsN9', 'AsBr3', 'AsF5', 'Ba2As', 'TaAs', 'PaAs', 'Sr3As', 'CaAs', 'Ti3As', 'SiAs', 'Rb3As', 'Sc3As', 'YbAs', 'SmAs', 'AsCl3', 'B6As', 'ScAs', 'Ge3As', 'As', 'ThAs', 'NpAs', 'NdAs', 'Ho3As', 'SnAs', 'Er3As', 'AsPd2', 'UAs', 'Sr2As', 'CoAs', 'HfAs', 'TiAs', 'Si3As', 'Nb2As', 'V3As', 'PrAs', 'BAs', 'Ta2As', 'NbAs', 'Mg5As', 'Tl3As', 'Al3As', 'AsPd4', 'Ni3As', 'RbAs', 'AsF3', 'Np3As', 'ZnAs', 'NaAs', 'ErAs', 'Hg3As', 'CuAs', 'Hf3As', 'Cd3As', 'Na3As', 'Fe2As', 'DyAs', 'GaAs', 'Ca2As', 'AsO2', 'Ag3As', 'AgAs', 'LuAs', 'Cs3As', 'Ga3As', 'Cu2As', 'AsI3', 'AsSe']"
Se,Selenium,1817,34,78.971,[Ar] 3d¹⁰4s²4p⁴,Se-80;Se-78,Solid,221,429.8,494.15,685,4.81 (gray),Gray metallic; red (amorph.),Low (gray),Brittle,Moderate,2.55,9.752,"2,4,6",+6;+4;-2,120,2.55,9.752,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-3.6×10⁻⁵ cm³/mol,Red fluorescence,379.2 nm,Antioxidant (trace),Leaches as selenate,"Gray, red, black",P2_1/c,2135.296539085758,"['NpSe', 'SeBr2', 'CoSe', 'Ga3Se', 'TmSe', 'Cu2Se', 'SeO4', 'Sn3Se', 'PbSe', 'Na2Se', 'SeI2', 'CuSe', 'HgSe', 'BaSe', 'Hf2Se', 'BeSe', 'Ti3Se', 'Nb3Se', 'EuSe', 'AuSe', 'Cr3Se', 'TlSe', 'MnSe', 'CaSe', 'Hf3Se', 'FeSe', 'SeBr3', 'LuSe', 'Th3Se', 'ErSe', 'Ag2Se', 'NiSe', 'As2Se', 'HoSe', 'Nb2Se', 'SeCl4', 'Fe3Se', 'Cd3Se', 'SeO2', 'Bi2Se', 'GdSe', 'YSe', 'ScSe', 'Rb2Se', 'Ta2Se', 'ThSe', 'SeS7', 'SeO3', 'Cs2Se', 'Ba3Se', 'GeSe', 'H2Se', 'InSe', 'Li2Se', 'CeSe', 'SeN', 'Zr3Se', 'Rh3Se', 'RbSe', 'PmSe', 'NaSe', 'SeBr', 'SeBr4', 'PSe', 'YbSe', 'TeSe', 'PuSe', 'SmSe', 'NdSe', 'SnSe', 'Ir3Se', 'CsSe', 'MgSe', 'USe', 'Mo3Se', 'TiSe', 'ZnSe', 'IrSe', 'RhSe', 'Ni3Se', 'MoSe', 'SeCl', 'TbSe', 'Co3Se', 'LaSe', 'DySe', 'Mg149Se', 'PrSe', 'ZrSe', 'Se', 'SeF4', 'KSe', 'In3Se', 'Pd4Se', 'BiSe', 'CdSe', 'SrSe', 'VSe', 'SeS', 'Zn3Se', 'CrSe', 'PdSe', 'Tb3Se', 'GaSe', 'P2Se', 'AgSe', 'Te3Se', 'Ag3Se', 'AsSe']"
Br,Bromine,1826,35,79.904,[Ar] 3d¹⁰4s²4p⁵,Br-79;Br-81,Liquid,-7.2,19.04,265.95,59,3.122,Red-brown liquid,Low,Unknown,High,2.96,11.814,1,-1;+1;+5;+7,114,2.96,11.814,Halogen,Unknown,Stable,Unknown,Diamagnetic,-5.6×10⁻⁸ cm³/mol,Red vapor,700–400 nm (broad),Flame retardants,Volatile; bioaccumulates,Diatomic (Br₂),Cmce,132.8423775658678,"['AuBr', 'S3Br', 'LiBr', 'BrCl', 'ThBrN', 'BrN3', 'CoBr', 'GdCBr', 'H9BrO4', 'Ag3Br', 'CaHBr', 'H5BrO2', 'HBr', 'IBr', 'NaBr', 'CuBr', 'HgBrN', 'ZrBr', 'Se3Br', 'BrN4', 'Th3Br', 'PrSBr', 'PbBrF', 'LaBr', 'InI2Br', 'CeBrO', 'Pa3Br', 'Ac3Br', 'BrNO', 'NdBrO2', 'TbBr', 'Sb4BrO6', 'SmSBr', 'RbBr', 'Li2BrO', 'Bi2IBr', 'Te2Br', 'RhBr', 'Ti3Br', 'CoBrO', 'SnBrCl', 'YBrO', 'Na3BrCl2', 'BrN', 'HgBr', 'BBr', 'NdBrO', 'ScBrO', 'CsBrF', 'KBr', 'BrO4', 'LaBrO2', 'NaBrO3', 'CBrF2', 'UBr', 'AcBrO', 'H7BrO3', 'Cs2BrCl', 'EuBrO', 'TlBr', 'SmBr', 'Br', 'BrF3', 'GdBrO', 'UBrO5', 'Au3Br', 'BiBrO', 'Mg149Br', 'Bi3Se4Br', 'Zr3Br', 'GdSBr', 'SBr', 'SrBrF', 'BaHBr', 'PrBrO', 'GdBr', 'LuBr', 'TmBr', 'BrO3', 'CuBrO2', 'SeBr', 'UBrN', 'TiBrO', 'EuBrO2', 'Mg3Br', 'TmBrO', 'CaBr', 'Cu4BrCl3', 'YCBr', 'Tl3Br', 'B10H13Br', 'PrBrO2', 'NaBrO2', 'TbCBr', 'TbSBr', 'Bi3BrO4', 'Mn3Br', 'YbBr', 'PH4Br', 'BrO', 'SnBrF', 'PuBrO', 'BaBrF', 'HgSBr', 'CdBrO', 'ReBr', 'Cu4I3Br', 'GdBrO2', 'YbBrO', 'LaCBr', 'SrHBr', 'PbBrCl', 'CsBr', 'Cu2BrO3', 'InBr', 'Rh3Br', 'Fe4Se3Br', 'HoBrO', 'ErBrO', 'H4BrN', 'Ba2P7Br', 'LaBrO', 'Ce3Br', 'NiBrO', 'BrO2', 'Nd3Br', 'SmBrO', 'PBr', 'AgBr', 'La3Br', 'V3Br', 'AgBrO2', 'Pu3Br', 'CBrN', 'LuBrO', 'SbBrO', 'Eu2BrO2', 'BiBr', 'BrF5', 'Rb3BrF12', 'Pr3Br']"
Kr,Krypton,1898,36,83.798,[Ar] 3d¹⁰4s²4p⁶,Kr-84;Kr-86,Gas,-157.36,-251.248,115.79,-153.22,0.003733,Colorless gas,Unknown,Unknown,Very low,Unknown,14,0,0,88,Unknown,14,Noble gas,Low (Kr-85),Stable,Kr-85: 10.76 years,Diamagnetic,-2.8×10⁻⁸ cm³/mol,Green-white discharge,557.0 nm,Unknown,Inert,Monatomic,R-3m,141.71468334419296,"['As2Kr3F16', 'SbKrF7', 'KrF2', 'Kr', 'SbKr3F11', 'AsKrF7', 'Hg2Te4Kr3(O2F13)2', 'Sb2(KrF4)5', 'BiKrF7', 'AsBrKr2OF12']"
Rb,Rubidium,1861,37,85.468,[Kr] 5s¹,Rb-85;Rb-87,Solid,39.3,102.74,312.45,688,1.532,Silvery-white,High,Soft,High,0.82,4.177,1,1,244,0.82,4.177,Alkali metal,Low (Rb-87),Rb-87: 4.88×10¹⁰ years,Unknown,Paramagnetic,+3.0×10⁻⁵ cm³/mol,Violet flame,780.0 nm,Atomic clocks,Highly soluble,Unknown,C2/c,722.1109726006154,"['RbP15', 'RbCr3O8', 'RbAl', 'RbB', 'RbSr3', 'RbRe', 'RbHS', 'RbO2F', 'RbAuBr3', 'RbCd13', 'RbPb', 'RbBi3Se5', 'RbN', 'RbTl3', 'RbHg5Cl11', 'K3Rb', 'RbH', 'RbTe', 'RbV5Se8', 'RbI', 'RbBi', 'RbAu5', 'RbNp3', 'RbCr5Se8', 'RbF', 'RbBiF4', 'RbSn', 'RbBa3', 'RbF3', 'RbSn3', 'RbMnTe2', 'RbH2N', 'RbPr3', 'RbF2', 'RbC2', 'RbBr', 'RbGa3', 'RbAg4I5', 'RbEu3', 'RbMg3', 'RbAg3Te2', 'RbPO4', 'RbMg', 'RbS', 'RbN3', 'RbSeBr3', 'RbO3', 'RbBr3', 'RbSb2', 'RbLi2O3', 'RbYb3', 'RbHg3', 'RbTaO3', 'RbAu', 'RbC10', 'RbGeBr3', 'CsRb', 'RbMg15', 'RbSe', 'RbTe6', 'RbCl', 'RbAg3S2', 'RbU3', 'RbCuO', 'RbP11', 'RbSb3', 'RbSi', 'RbO2', 'RbBe2F5', 'RbIn5S8', 'RbSnF3', 'RbC8', 'RbSeO4', 'RbTlO', 'RbBi4Se7', 'RbCa3', 'Cs3Rb', 'Rb', 'RbMg149', 'Rb(CuO5)2', 'RbZn13', 'RbHg11', 'RbSb', 'Rb(CrS2)2', 'RbCe3', 'RbMnSe2', 'RbAc3', 'RbBiF3', 'RbHO', 'RbV5S8', 'RbGeCl3', 'RbGe3', 'RbMg2', 'RbSc5Te8', 'RbV3O8', 'Rb(CO)2', 'RbMg7', 'RbI3', 'RbAs', 'Rb(WO4)8', 'RbP', 'RbIn3S5', 'RbSnBr3', 'RbAg3Se2', 'RbIn4', 'RbSrCl3', 'RbGe', 'Rb(WO3)3', 'RbCu3S2', 'RbHg2', 'RbYb', 'RbBi2', 'RbGa7', 'RbNa3', 'RbBi3', 'RbC']"
Sr,Strontium,1790,38,87.62,[Kr] 5s²,Sr-88;Sr-86,Solid,777,1430.6,1050.15,1377,2.63,Silvery-white,High,Malleable,Moderate,0.95,5.695,2,2,215,0.95,5.695,Alkaline earth,Low (Sr-90),Stable,Sr-90: 28.8 years,Paramagnetic,+2.5×10⁻⁵ cm³/mol,Red flame,460.7 nm,Bone-seeking (Sr-90),Carbonates,Unknown,P6_3/mmc,112.86603919480832,"['SrPt2', 'SrTb3', 'SrTh3', 'SrZn13', 'SrLa3', 'SrC6', 'SrMg5', 'SrP', 'SrAl', 'SrO3', 'SrY', 'SrO', 'SrPt5', 'SrPa3', 'SrZn2', 'SrO2', 'SrU', 'SrO10', 'SrC2', 'SrSb2', 'SrBr3', 'SrMg15', 'SrN', 'SrCd11', 'SrCu5', 'SrGa', 'SrPm3', 'SrPd3', 'SrCa', 'SrZn5', 'SrO6', 'SrN6', 'SrPr3', 'SrTl3', 'SrPb3', 'SrAg5', 'SrTl', 'SrMg3', 'SrIn4', 'SrYb3', 'SrGe2', 'SrGe3', 'SrAu', 'SrO4', 'SrTe', 'SrAs', 'SrB6', 'SrYb', 'SrCl2', 'Sr', 'SrGa2', 'Ba3Sr', 'SrSm3', 'SrCd3', 'SrPd5', 'SrHg11', 'SrS', 'SrAu5', 'SrF2', 'SrC20', 'SrDy3', 'SrCl3', 'SrC10', 'SrC', 'SrMg2', 'SrH3', 'SrTl2', 'SrGd3', 'SrCu', 'SrF3', 'SrIn2', 'SrAs3', 'SrGa4', 'SrHg2', 'SrHg3', 'Cs3Sr', 'SrCe3', 'SrIn3', 'SrMg', 'SrMg7', 'SrEu', 'SrNd3', 'SrHg', 'SrCa3', 'SrP2', 'SrF', 'SrIr2', 'SrI2', 'SrAl4', 'SrMg4', 'SrAl2', 'SrZn11', 'SrPd2', 'SrTb', 'SrAc3', 'Rb3Sr', 'SrEu3', 'SrP3', 'SrBi3', 'SrLu', 'SrS2', 'SrSn3', 'SrIn5', 'SrSi', 'SrSe', 'SrN2', 'SrBr2', 'SrCd', 'K3Sr', 'SrRh2', 'SrBe13', 'SrSi2', 'SrB2', 'SrH2']"
